GEOID,B19013_001E,SUMLEVEL,ST,COUNTY,BLKGRP,COMPONENT,NAME,TRACT,,,
15000US060371081032,136063,150,6,37,2,0,Block Group 2, Census Tract 1081.03, Los Angeles County, California,108103
15000US060371081041,108438,150,6,37,1,0,Block Group 1, Census Tract 1081.04, Los Angeles County, California,108104
15000US060371082011,87065,150,6,37,1,0,Block Group 1, Census Tract 1082.01, Los Angeles County, California,108201
15000US060371082012,93000,150,6,37,2,0,Block Group 2, Census Tract 1082.01, Los Angeles County, California,108201
15000US060371082021,114500,150,6,37,1,0,Block Group 1, Census Tract 1082.02, Los Angeles County, California,108202
15000US060371091001,45872,150,6,37,1,0,Block Group 1, Census Tract 1091, Los Angeles County, California,109100
15000US060371091002,71613,150,6,37,2,0,Block Group 2, Census Tract 1091, Los Angeles County, California,109100
15000US060371092001,95694,150,6,37,1,0,Block Group 1, Census Tract 1092, Los Angeles County, California,109200
15000US060371092002,57594,150,6,37,2,0,Block Group 2, Census Tract 1092, Los Angeles County, California,109200
15000US060371092003,83269,150,6,37,3,0,Block Group 3, Census Tract 1092, Los Angeles County, California,109200
15000US060371093001,92083,150,6,37,1,0,Block Group 1, Census Tract 1093, Los Angeles County, California,109300
15000US060371093002,77250,150,6,37,2,0,Block Group 2, Census Tract 1093, Los Angeles County, California,109300
15000US060371093003,61964,150,6,37,3,0,Block Group 3, Census Tract 1093, Los Angeles County, California,109300
15000US060371094001,60208,150,6,37,1,0,Block Group 1, Census Tract 1094, Los Angeles County, California,109400
15000US060371094002,51583,150,6,37,2,0,Block Group 2, Census Tract 1094, Los Angeles County, California,109400
15000US060371094003,53646,150,6,37,3,0,Block Group 3, Census Tract 1094, Los Angeles County, California,109400
15000US060371095001,54961,150,6,37,1,0,Block Group 1, Census Tract 1095, Los Angeles County, California,109500
15000US060371095002,62321,150,6,37,2,0,Block Group 2, Census Tract 1095, Los Angeles County, California,109500
15000US060371095003,30238,150,6,37,3,0,Block Group 3, Census Tract 1095, Los Angeles County, California,109500
15000US060371096011,74412,150,6,37,1,0,Block Group 1, Census Tract 1096.01, Los Angeles County, California,109601
15000US060371096012,73750,150,6,37,2,0,Block Group 2, Census Tract 1096.01, Los Angeles County, California,109601
15000US060371096013,58333,150,6,37,3,0,Block Group 3, Census Tract 1096.01, Los Angeles County, California,109601
15000US060371096014,62031,150,6,37,4,0,Block Group 4, Census Tract 1096.01, Los Angeles County, California,109601
15000US060371096031,50563,150,6,37,1,0,Block Group 1, Census Tract 1096.03, Los Angeles County, California,109603
15000US060371096032,76179,150,6,37,2,0,Block Group 2, Census Tract 1096.03, Los Angeles County, California,109603
15000US060371096033,40568,150,6,37,3,0,Block Group 3, Census Tract 1096.03, Los Angeles County, California,109603
15000US060371096041,48125,150,6,37,1,0,Block Group 1, Census Tract 1096.04, Los Angeles County, California,109604
15000US060371096042,82576,150,6,37,2,0,Block Group 2, Census Tract 1096.04, Los Angeles County, California,109604
15000US060371096043,71458,150,6,37,3,0,Block Group 3, Census Tract 1096.04, Los Angeles County, California,109604
15000US060371097001,69018,150,6,37,1,0,Block Group 1, Census Tract 1097, Los Angeles County, California,109700
15000US060371097002,74938,150,6,37,2,0,Block Group 2, Census Tract 1097, Los Angeles County, California,109700
15000US060371097003,79792,150,6,37,3,0,Block Group 3, Census Tract 1097, Los Angeles County, California,109700
15000US060371098001,69152,150,6,37,1,0,Block Group 1, Census Tract 1098, Los Angeles County, California,109800
15000US060371098002,54728,150,6,37,2,0,Block Group 2, Census Tract 1098, Los Angeles County, California,109800
15000US060371098003,99250,150,6,37,3,0,Block Group 3, Census Tract 1098, Los Angeles County, California,109800
15000US060371098004,83214,150,6,37,4,0,Block Group 4, Census Tract 1098, Los Angeles County, California,109800
15000US060371111001,70658,150,6,37,1,0,Block Group 1, Census Tract 1111, Los Angeles County, California,111100
15000US060371111002,75313,150,6,37,2,0,Block Group 2, Census Tract 1111, Los Angeles County, California,111100
15000US060371112011,86029,150,6,37,1,0,Block Group 1, Census Tract 1112.01, Los Angeles County, California,111201
15000US060371112012,88090,150,6,37,2,0,Block Group 2, Census Tract 1112.01, Los Angeles County, California,111201
15000US060371112013,128214,150,6,37,3,0,Block Group 3, Census Tract 1112.01, Los Angeles County, California,111201
15000US060371112021,81302,150,6,37,1,0,Block Group 1, Census Tract 1112.02, Los Angeles County, California,111202
15000US060371112022,61125,150,6,37,2,0,Block Group 2, Census Tract 1112.02, Los Angeles County, California,111202
15000US060371112023,68571,150,6,37,3,0,Block Group 3, Census Tract 1112.02, Los Angeles County, California,111202
15000US060371112041,146250,150,6,37,1,0,Block Group 1, Census Tract 1112.04, Los Angeles County, California,111204
15000US060371112042,100294,150,6,37,2,0,Block Group 2, Census Tract 1112.04, Los Angeles County, California,111204
15000US060371112043,118906,150,6,37,3,0,Block Group 3, Census Tract 1112.04, Los Angeles County, California,111204
15000US060371112051,73676,150,6,37,1,0,Block Group 1, Census Tract 1112.05, Los Angeles County, California,111205
15000US060371112052,79946,150,6,37,2,0,Block Group 2, Census Tract 1112.05, Los Angeles County, California,111205
15000US060371112053,59167,150,6,37,3,0,Block Group 3, Census Tract 1112.05, Los Angeles County, California,111205
15000US060371112061,117315,150,6,37,1,0,Block Group 1, Census Tract 1112.06, Los Angeles County, California,111206
15000US060371112062,91250,150,6,37,2,0,Block Group 2, Census Tract 1112.06, Los Angeles County, California,111206
15000US060371112063,112625,150,6,37,3,0,Block Group 3, Census Tract 1112.06, Los Angeles County, California,111206
15000US060371112064,121574,150,6,37,4,0,Block Group 4, Census Tract 1112.06, Los Angeles County, California,111206
15000US060371112065,119107,150,6,37,5,0,Block Group 5, Census Tract 1112.06, Los Angeles County, California,111206
15000US060371113011,44559,150,6,37,1,0,Block Group 1, Census Tract 1113.01, Los Angeles County, California,111301
15000US060371113012,48750,150,6,37,2,0,Block Group 2, Census Tract 1113.01, Los Angeles County, California,111301
15000US060371113013,79202,150,6,37,3,0,Block Group 3, Census Tract 1113.01, Los Angeles County, California,111301
15000US060371113014,40396,150,6,37,4,0,Block Group 4, Census Tract 1113.01, Los Angeles County, California,111301
15000US060371113021,81429,150,6,37,1,0,Block Group 1, Census Tract 1113.02, Los Angeles County, California,111302
15000US060371113022,56825,150,6,37,2,0,Block Group 2, Census Tract 1113.02, Los Angeles County, California,111302
15000US060371114001,69190,150,6,37,1,0,Block Group 1, Census Tract 1114, Los Angeles County, California,111400
15000US060371114002,60400,150,6,37,2,0,Block Group 2, Census Tract 1114, Los Angeles County, California,111400
15000US060371114003,30214,150,6,37,3,0,Block Group 3, Census Tract 1114, Los Angeles County, California,111400
15000US060371131011,127375,150,6,37,1,0,Block Group 1, Census Tract 1131.01, Los Angeles County, California,113101
15000US060371131012,80788,150,6,37,2,0,Block Group 2, Census Tract 1131.01, Los Angeles County, California,113101
15000US060371131021,120921,150,6,37,1,0,Block Group 1, Census Tract 1131.02, Los Angeles County, California,113102
15000US060371131022,110417,150,6,37,2,0,Block Group 2, Census Tract 1131.02, Los Angeles County, California,113102
15000US060371132111,98309,150,6,37,1,0,Block Group 1, Census Tract 1132.11, Los Angeles County, California,113211
15000US060371132112,90927,150,6,37,2,0,Block Group 2, Census Tract 1132.11, Los Angeles County, California,113211
15000US060371132121,96544,150,6,37,1,0,Block Group 1, Census Tract 1132.12, Los Angeles County, California,113212
15000US060371132122,70820,150,6,37,2,0,Block Group 2, Census Tract 1132.12, Los Angeles County, California,113212
15000US060371132131,90656,150,6,37,1,0,Block Group 1, Census Tract 1132.13, Los Angeles County, California,113213
15000US060371132132,57688,150,6,37,2,0,Block Group 2, Census Tract 1132.13, Los Angeles County, California,113213
15000US060371132311,89167,150,6,37,1,0,Block Group 1, Census Tract 1132.31, Los Angeles County, California,113231
15000US060371132312,67250,150,6,37,2,0,Block Group 2, Census Tract 1132.31, Los Angeles County, California,113231
15000US060371132321,109500,150,6,37,1,0,Block Group 1, Census Tract 1132.32, Los Angeles County, California,113232
15000US060371132322,66385,150,6,37,2,0,Block Group 2, Census Tract 1132.32, Los Angeles County, California,113232
15000US060371132331,27271,150,6,37,1,0,Block Group 1, Census Tract 1132.33, Los Angeles County, California,113233
15000US060371132332,51597,150,6,37,2,0,Block Group 2, Census Tract 1132.33, Los Angeles County, California,113233
15000US060371132333,43000,150,6,37,3,0,Block Group 3, Census Tract 1132.33, Los Angeles County, California,113233
15000US060371132341,29375,150,6,37,1,0,Block Group 1, Census Tract 1132.34, Los Angeles County, California,113234
15000US060371132342,42576,150,6,37,2,0,Block Group 2, Census Tract 1132.34, Los Angeles County, California,113234
15000US060371132351,74412,150,6,37,1,0,Block Group 1, Census Tract 1132.35, Los Angeles County, California,113235
15000US060371132371,91023,150,6,37,1,0,Block Group 1, Census Tract 1132.37, Los Angeles County, California,113237
15000US060371132372,51531,150,6,37,2,0,Block Group 2, Census Tract 1132.37, Los Angeles County, California,113237
15000US060371133011,71250,150,6,37,1,0,Block Group 1, Census Tract 1133.01, Los Angeles County, California,113301
15000US060371133012,114231,150,6,37,2,0,Block Group 2, Census Tract 1133.01, Los Angeles County, California,113301
15000US060371133031,101458,150,6,37,1,0,Block Group 1, Census Tract 1133.03, Los Angeles County, California,113303
15000US060371133032,44088,150,6,37,2,0,Block Group 2, Census Tract 1133.03, Los Angeles County, California,113303
15000US060371133211,51804,150,6,37,1,0,Block Group 1, Census Tract 1133.21, Los Angeles County, California,113321
15000US060371133212,82000,150,6,37,2,0,Block Group 2, Census Tract 1133.21, Los Angeles County, California,113321
15000US060371133221,107284,150,6,37,1,0,Block Group 1, Census Tract 1133.22, Los Angeles County, California,113322
15000US060371133222,66827,150,6,37,2,0,Block Group 2, Census Tract 1133.22, Los Angeles County, California,113322
15000US060371134011,67621,150,6,37,1,0,Block Group 1, Census Tract 1134.01, Los Angeles County, California,113401
15000US060371134012,90417,150,6,37,2,0,Block Group 2, Census Tract 1134.01, Los Angeles County, California,113401
